target,model,MAE,MSE,RMSE,MAPE
daily_orders,ARIMA,9.797718969464468,152.64148070915596,12.290705929271164,7.245702063931058
daily_orders,SARIMA,9.862488570088567,152.75752047828624,12.293453326004489,7.307824356848214
daily_orders,Holt,9.764758787656945,153.55225271504955,12.330644130710844,7.270014373417645
daily_orders,ETS,9.998952228568308,157.62511883704371,12.484048962932464,7.4470870372950495
daily_orders,LinearRegression,10.127927797402206,163.4950182683151,12.651407291912236,7.654634401402295
daily_orders,XGBoost,11.333072492811416,198.53875085678817,13.980753645034286,8.670421351080583
daily_orders,SeasonalNaive,16.266666666666666,373.2222222222222,19.15329821502328,12.139118097191668
daily_orders,Naive,17.166666666666668,495.5222222222222,20.20957688615136,12.88292151986041
daily_revenue,ARIMA,2794.837431241176,11421623.847786702,3364.485249149299,8.194805208761945
daily_revenue,ETS,2807.9696337226087,11497658.618334284,3375.226881660812,8.248748158399637
daily_revenue,Holt,2774.002880953721,11504760.128353365,3382.551946264933,8.203084050675548
daily_revenue,LinearRegression,2833.9889011410305,12029099.72317864,3449.220632945641,8.436801374673271
daily_revenue,SARIMA,2846.2812192888737,12155809.347557765,3471.6370197699857,8.464170291649639
daily_revenue,XGBoost,3083.3454548611103,13886379.89852225,3718.4805219459554,9.2128931522204
daily_revenue,Naive,3475.607333333332,19865170.71663777,4352.882151315491,10.273333602472151
daily_revenue,SeasonalNaive,4075.7353333333335,23246799.25891556,4782.76955262371,11.99935322696878
