target,split,model,MAE,MSE,RMSE,MAPE
daily_revenue,1,LinearRegression,2970.7011735030824,14479221.675841166,3805.1572471898144,8.857510768288277
daily_revenue,1,XGBoost,3235.0322552083326,15808300.49568927,3975.965353934723,9.657456278088707
daily_revenue,2,LinearRegression,2550.1433940612196,8704853.238969468,2950.3988271027815,7.453796648534437
daily_revenue,2,XGBoost,2815.92309375,11503957.089753866,3391.7483824355054,8.268553141247045
daily_revenue,3,LinearRegression,2981.1221358587886,12903224.254725285,3592.105824544328,8.999096707197099
daily_revenue,3,XGBoost,3199.0810156249995,14346882.110123614,3787.7278294676366,9.712670037325449
daily_orders,1,LinearRegression,11.326765379052828,227.8941879607756,15.096164677187899,8.804992931677587
daily_orders,1,XGBoost,11.487443288167318,234.99223928737337,15.329456588130363,8.952500599350406
daily_orders,2,LinearRegression,8.471386455970345,112.54710638048205,10.608822101462634,6.198205013182448
daily_orders,2,XGBoost,9.391166178385417,132.32278246625404,11.50316401979273,7.030611666955837
daily_orders,3,LinearRegression,10.585631557183442,150.04376046368768,12.249235097086173,7.960705259346852
daily_orders,3,XGBoost,13.12060801188151,228.30123081673713,15.109640327179768,10.028151786935506
